Index,Model,Family,Line,Platform,OPN Tray,OPN PIB,OPN MPK,Launch Date,# of CPU Cores,# of Threads,# of GPU Cores,Compute Cores,Base Clock,Max Boost Clock ¹ ²,Total L1 Cache,Total L2 Cache,Total L3 Cache,Unlocked,CMOS,Package,Socket Count,PCI Express® Version,Thermal Solution PIB,Thermal Solution MPK,Default TDP / TDP,cTDP,Max Temps,*OS Support,System Memory Specification,System Memory Type,Memory Channels,Graphics Frequency,GPU Base,Graphics Model,Graphics Core Count,Supported Technologies,DisplayPort,HDMI
142,AMD Ryzen 3 PRO 1300,AMD Ryzen™ PRO Processors,AMD Ryzen™ 3 PRO Desktop Processors,Desktop,YD130BBBM4KAE,,YD130BBBAEMPK,06/29/2017,4,4,,,3.5GHz,Up to 3.7GHz,384KB,2MB,8MB,No,14nm,AM4,,PCIe 3.0 x16,,Wraith Spire,65W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2667MHz,DDR4,2,,,Discrete Graphics Card Required,,"AMD GuardMI Technology, AMD SenseMI Technology, Virtualization, DASH 1.2, Secure Boot, Trusted Applications, TSM Encryption, AES, AVX2, XFR (Extended Frequency Range)",,
143,AMD Ryzen 3 PRO 2200G with Radeon Vega 8 Graphics,AMD Ryzen™ PRO Processors,AMD Ryzen™ 3 PRO Desktop Processors with Radeon™ Vega Graphics,Desktop,YD220BC5M4MFB,,YD220BC5FBMPK,5/10/2018,4,4,8,12 (4 CPU + 8 GPU),3.5GHz,Up to 3.7GHz,384KB,2MB,4MB,No,14nm FinFET,AM4,,PCIe® 3.0,Wraith Stealth,Wraith Spire,65W,46-65W,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2933MHz,,2,1100 MHz,,Radeon™ Vega 8 Graphics,8,"AMD GuardMI Technology, AMD SenseMI Technology, AMD Zen Core Architecture, DASH 1.2",Yes,Yes
144,AMD Ryzen 3 PRO 2200GE with Radeon Vega 8 Graphics,AMD Ryzen™ PRO Processors,AMD Ryzen™ 3 PRO Desktop Processors with Radeon™ Vega Graphics,Desktop,YD220BC6M4MFB,,YD220BC6FBMPK,5/10/2018,4,4,8,,3.2GHz,Up to 3.6GHz,384KB,2MB,4MB,No,14nm FinFET,AM4,,PCIe® 3.0 x8,Not included,Wraith Stealth,35W,n/aW,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2933MHz,DDR4,2,1100 MHz,,Radeon™ Vega 8 Graphics,8,"AMD GuardMI Technology, AMD SenseMI Technology, AMD Zen Core Architecture, DASH 1.2",Yes,Yes
145,AMD Ryzen 3 PRO 2300U,AMD Ryzen™ PRO Processors,AMD Ryzen™ 3 PRO Mobile Processors with Radeon™ Vega Graphics,Laptop,YM230BC4T4MFB,,,Q1 2019,4,4,6,,2.0GHz,Up to 3.4GHz,384KB,2MB,4MB,No,14nm,FP5,,PCIe® 3.0,,,15W,12-25W,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2400MHz,DDR4,2,1100 MHz,,Radeon™ Vega 6 Graphics,6,"AMD PRO security, AMD SenseMI Technology, AMD Zen Core Architecture, DASH 1.2",Yes,Yes
146,AMD Ryzen 3 PRO 1200,AMD Ryzen™ PRO Processors,AMD Ryzen™ 3 PRO Desktop Processors,Desktop,YD120BBBM4KAE,,YD120BBBAEMPK,06/29/2017,4,4,,,3.1GHz,Up to 3.4GHz,384KB,2MB,8MB,No,14nm,AM4,,PCIe 3.0 x16,SR2ni,Wraith Spire,65W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2667MHz,DDR4,2,,,Discrete Graphics Card Required,,"AMD GuardMI Technology, AMD SenseMI Technology, Virtualization, DASH 1.2, Secure Boot, Trusted Applications, TSM Encryption, AES, AVX2, XFR (Extended Frequency Range)",,
147,7th Gen AMD PRO A4-5350B APU,AMD PRO A-Series Processors,AMD PRO A-Series A4 APU for Laptops,Laptop,,,,Q1 2020,2,,3,,3.0GHz,Up to 3.6GHz,,1MB,,No,28nm,,,PCIe® 3.0,,,15W,10-15WW,90°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2133MHz,DDR4,1,,847 MHz,AMD Radeon™ R5 Graphics,,"Virtualization, DirectX® 12 Technology, AES, Catalyst Software, AMD Enduro™ Technology, FMA4, AMD Secure Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), The Vulkan® API, Switchable Graphics, AVFS",Yes,Yes
148,7th Gen AMD PRO A4-4350B APU,AMD PRO A-Series Processors,AMD PRO A-Series A4 APU for Laptops,Laptop,AM435BAYN23AC,,,Q1 2018,2,,3,5 (2 CPU + 3 GPU),2.5GHz,Up to 2.9GHz,,1MB,,No,28nm,,,PCIe® 3.0,,,15W,,90°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2133MHz,DDR4,1,,655 MHz,AMD Radeon™ R4 Graphics,,"Virtualization, DirectX® 12 Technology, AES, Catalyst Software, AMD Enduro™ Technology, FMA4, AMD Secure Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), The Vulkan® API, Switchable Graphics, AVFS",Yes,Yes
149,7th Gen AMD PRO A6-8350B APU,AMD PRO A-Series Processors,AMD PRO A-Series A6 APU for Laptops,Laptop,,,,Q1 2020,2,,3,,3.1GHz,Up to 3.7GHz,,1MB,,No,28nm,,,PCIe® 3.0,,,15W,10-15WW,90°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2133MHz,DDR4,1,,900 MHz,AMD Radeon™ R5 Graphics,,"Virtualization, DirectX® 12 Technology, AES, AMD Enduro™ Technology, FMA4, AMD Secure Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), The Vulkan® API, Switchable Graphics, AVFS",Yes,Yes
150,7th Gen AMD PRO A6-7350B APU,AMD PRO A-Series Processors,AMD PRO A-Series A6 APU for Laptops,Laptop,AM735BAYN23AC,,,Q1 2018,2,,3,5 (2 CPU + 3 GPU),3.0GHz,Up to 3.6GHz,,1MB,,No,28nm,,,PCIe® 3.0,,,15W,,90°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2133MHz,DDR4,1,,847 MHz,AMD Radeon™ R5 Graphics,,"Virtualization, DirectX® 12 Technology, AES, Catalyst Software, AMD Enduro™ Technology, FMA4, AMD Frame Rate Target Control, AMD Secure Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), The Vulkan® API, Switchable Graphics, AVFS",Yes,Yes
151,7th Gen A12-9800 APU,AMD A-Series Processors,AMD A12-Series APU for Desktops,Boxed Processor,AD9800AUM44AB,AD9800AUABBOX,,"Channel: 7/27/2017, OEM: 9/5/2016",4,,8,12 (4 CPU + 8 GPU),3.8GHz,Up to 4.2GHz,,2MB,,Yes,28nm,AM4,,PCIe® 3.0 x8,,,65W,,90°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2400MHz,DDR4,2,1108 MHz,,Radeon™ R7 Series,,,Yes,Yes
152,7th Gen A12-9800E APU,AMD A-Series Processors,AMD A12-Series APU for Desktops,Boxed Processor,AD9800AHM44AB,AD9800AHABBOX,,9/5/2016,4,,8,12 (4 CPU + 8 GPU),3.1GHz,Up to 3.8GHz,,2MB,,Yes,28nm,AM4,,PCIe® 3.0 x8,,,35W,,90°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2400MHz,DDR4,2,900 MHz,,Radeon™ R7 Series,,,Yes,Yes
153,7th Gen A10-9700 APU,AMD A-Series Processors,AMD A10-Series APU for Desktops,Boxed Processor,AD9700AGM44AB,AD9700AGABBOX,,"Channel: 7/27/2017, OEM: 9/5/2016",4,,6,10 (4 CPU + 6 GPU),3.5GHz,Up to 3.8GHz,,2MB,,Yes,28nm,AM4,,PCIe® 3.0 x8,,,65W,45/65W,90°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2400MHz,DDR4,2,1029 MHz,,Radeon™ R7 Series,,,Yes,Yes
154,7th Gen A10-9700E APU,AMD A-Series Processors,AMD A10-Series APU for Desktops,Boxed Processor,AD9700AHM44AB,AD9700AHABBOX,,9/5/2016,4,,6,10 (4 CPU + 6 GPU),3.0GHz,Up to 3.5GHz,,2MB,,Yes,28nm,AM4,,PCIe® 3.0 x8,,,35W,,90°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2400MHz,DDR4,3,847 MHz,,Radeon™ R7 Series,,,Yes,Yes
155,7th Gen A8-9600 APU,AMD A-Series Processors,AMD A8-Series APU for Desktops,Boxed Processor,AD9600AGM44AB,AD9600AGABBOX,,"Channel: 7/27/2017, OEM: 9/5/2016",4,,6,10 (4 CPU + 6 GPU),3.1GHz,Up to 3.4GHz,,2MB,,Yes,28nm,AM4,,PCIe® 3.0 x8,,,65W,45/65W,90°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2400MHz,DDR4,2,900 MHz,,Radeon™ R7 Series,,,Yes,Yes
156,7th Gen A6-9550 APU,AMD A-Series Processors,AMD A6-Series APU for Desktops,Boxed Processor,AD9550AGM23AB,AD9550AGABBOX,,7/27/2017,2,,6,8 (2 CPU + 6 GPU),3.8GHz,Up to 4.0GHz,,1MB,,Yes,28nm,AM4,,PCIe® 3.0 x8,,,65W,45/65W,90°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2400MHz,DDR4,2,1029 MHz,,Radeon™ R5 Series,,"DirectX® 12 Technology, Unified Video Decoder (UVD)",Yes,Yes
157,7th Gen A6-9500 APU,AMD A-Series Processors,AMD A6-Series APU for Desktops,Boxed Processor,AD9500AGM23AB,AD9500AGABBOX,,"Channel: 7/27/2017, OEM: 9/5/2016",2,,6,8 (2 CPU + 6 GPU),3.5GHz,Up to 3.8GHz,,1MB,,Yes,28nm,AM4,,PCIe® 3.0 x8,,,65W,45/65W,90°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2400MHz,DDR4,2,1029 MHz,,Radeon™ R5 Series,,,Yes,Yes
158,7th Gen A6-9500E APU,AMD A-Series Processors,AMD A6-Series APU for Desktops,Boxed Processor,AD9500AHM23AB,AD9500AHABBOX,,"Channel: 7/27/2017, OEM: 9/5/2016",2,,4,6 (2 CPU + 4 GPU),3.0GHz,Up to 3.4GHz,,1MB,,Yes,28nm,AM4,,PCIe® 3.0 x8,,,35W,,90°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2400MHz,DDR4,2,800 MHz,,Radeon™ R5 Series,,,Yes,Yes
159,7th Gen A12-9730P APU,AMD A-Series Processors,AMD A12-Series APU for Laptops,Laptop,AM973PAEY44AB,,,Q216,4,,6,,2.8GHz,Up to 3.5GHz,,2MB,,No,28nm,FP4,,,,,35W,25-45WW,90°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2400MHz,DDR4,2,900 MHz,,AMD Radeon™ R7 Graphics,,"Virtualization, AMD FreeSync™ Technology, DirectX® 12 Technology, AES, AMD App Acceleration, Catalyst Software, AMD Enduro™ Technology, FMA4, AMD Frame Rate Target Control, AMD Radeon™ Dual Graphics, AMD Secure Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), The Vulkan® API, Switchable Graphics, AMD HD3D Technology, AMD Mantle API",Yes,Yes
160,7th Gen A12-9700P APU,AMD A-Series Processors,AMD A12-Series APU for Laptops,Laptop,AM970PADY44AB,,,Q216,4,,6,,2.5GHz,Up to 3.4GHz,,2MB,,No,28nm,FP4,,,,,15W,12-15WW,90°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 1866MHz,DDR4,2,758 MHz,,AMD Radeon™ R7 Graphics,,"Virtualization, AMD FreeSync™ Technology, DirectX® 12 Technology, AES, AMD App Acceleration, Catalyst Software, AMD Enduro™ Technology, FMA4, AMD Frame Rate Target Control, AMD Radeon™ Dual Graphics, AMD Secure Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), The Vulkan® API, Switchable Graphics, AMD HD3D Technology, AMD Mantle API",Yes,Yes
161,7th Gen A10-9630P APU,AMD A-Series Processors,AMD A10-Series APU for Laptops,Laptop,AM963PAEY44AB,,,Q216,4,,6,,2.6GHz,Up to 3.3GHz,,2MB,,No,28nm,FP4,,,,,35W,25-45WW,90°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2400MHz,DDR4,2,800 MHz,,AMD Radeon™ R5 Graphics,,"Virtualization, AMD FreeSync™ Technology, DirectX® 12 Technology, AES, AMD App Acceleration, Catalyst Software, AMD Enduro™ Technology, FMA4, AMD Frame Rate Target Control, AMD Radeon™ Dual Graphics, AMD Secure Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), The Vulkan® API, Switchable Graphics, AMD HD3D Technology, AMD Mantle API",Yes,Yes
162,7th Gen A10-9600P APU,AMD A-Series Processors,AMD A10-Series APU for Laptops,Laptop,AM960PADY44AB,,,Q216,4,,6,,2.4GHz,Up to 3.3GHz,,2MB,,No,28nm,FP4,,,,,15W,12-15WW,90°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 1866MHz,DDR4,2,720 MHz,,AMD Radeon™ R5 Graphics,,"Virtualization, AMD FreeSync™ Technology, DirectX® 12 Technology, AES, AMD App Acceleration, Catalyst Software, AMD Enduro™ Technology, FMA4, AMD Frame Rate Target Control, AMD Radeon™ Dual Graphics, AMD Secure Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), The Vulkan® API, Switchable Graphics, AMD HD3D Technology, AMD Mantle API",Yes,Yes
163,7th Gen A9-9425 APU,AMD A-Series Processors,AMD A9-Series APU for Laptops,Laptop,AM9425AYN23AC,,,2Q18,2,,3,5 (2 CPU + 3 GPU),3.1GHz,Up to 3.7GHz,,1MB,,No,28nm,,,PCIe® 3.0,,,15W,10-15W,90°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2133MHz,DDR4,1,900 MHz,,AMD Radeon™ R5 Graphics,,"Virtualization, DirectX® 12 Technology, AES, AMD App Acceleration, Catalyst Software, AMD Enduro™ Technology, FMA4, AMD Frame Rate Target Control, AMD Radeon™ Dual Graphics, Unified Video Decoder (UVD), The Vulkan® API, Switchable Graphics, AVFS, AMD HD3D Technology, AMD Mantle API, AMD Gaming Evolved Client",Yes,Yes
164,7th Gen A9-9420 APU,AMD A-Series Processors,AMD A9-Series APU for Laptops,Laptop,AM9420AYN23AC,,,Q217,2,,3,5 (2 CPU + 3 GPU),3.0GHz,Up to 3.6GHz,,1MB,,No,28nm,,,PCIe® 3.0,,,15W,10-15WW,90°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2133MHz,DDR4,,847 MHz,,AMD Radeon™ R5 Graphics,3,,Yes,Yes
165,7th Gen A9-9410 APU,AMD A-Series Processors,AMD A9-Series APU for Laptops,Laptop,AM9410AFY23AC,,,Q216,2,,3,5 (2 CPU + 3 GPU),2.9GHz,Up to 3.5GHz,,1MB,,No,28nm,,,,,,10-25/25W,,90°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2133MHz,DDR4,1,800 MHz,,AMD Radeon™ R5 Graphics,3,"AMD FreeSync™ Technology, AES, Unified Video Decoder (UVD), The Vulkan® API",Yes,Yes
