Index,Model,Family,Line,Platform,OPN Tray,OPN PIB,OPN MPK,Launch Date,# of CPU Cores,# of Threads,# of GPU Cores,Compute Cores,Base Clock,Max Boost Clock ¹ ²,Total L1 Cache,Total L2 Cache,Total L3 Cache,Unlocked,CMOS,Package,Socket Count,PCI Express® Version,Thermal Solution PIB,Thermal Solution MPK,Default TDP / TDP,cTDP,Max Temps,*OS Support,System Memory Specification,System Memory Type,Memory Channels,Graphics Frequency,GPU Base,Graphics Model,Graphics Core Count,Supported Technologies,DisplayPort,HDMI
0,AMD Ryzen 9 5950X,AMD Ryzen™ Processors,AMD Ryzen™ 9 Desktop Processors,Boxed Processor,100-000000059,100-100000059WOF,,11/5/2020,16,32,,,3.4GHz,Up to 4.9GHz,,8MB,64MB,Yes,TSMC 7nm FinFET,AM4,,PCIe 4.0,Not included,,105W,,90°C,,Up to 3200MHz,DDR4,,,,Discrete Graphics Card Required,,"AMD ""Zen 3"" Core Architecture, AMD StoreMI Technology, AMD Ryzen™ Master Utility, AMD Ryzen™ VR-Ready Premium",,
1,AMD Ryzen 9 5900X,AMD Ryzen™ Processors,AMD Ryzen™ 9 Desktop Processors,Boxed Processor,100-000000061,100-100000061WOF,,11/5/2020,12,24,,,3.7GHz,Up to 4.8GHz,,6MB,64MB,Yes,TSMC 7nm FinFET,AM4,,PCIe 4.0,Not included,,105W,,90°C,,Up to 3200MHz,DDR4,,,,Discrete Graphics Card Required,,"AMD ""Zen 3"" Core Architecture, AMD StoreMI Technology, AMD Ryzen™ Master Utility, AMD Ryzen™ VR-Ready Premium",,
2,AMD Ryzen 7 5800X,AMD Ryzen™ Processors,AMD Ryzen™ 7 Desktop Processors,Boxed Processor,100-000000063,100-100000063WOF,,11/5/2020,8,16,,,3.8GHz,Up to 4.7GHz,,4MB,32MB,Yes,TSMC 7nm FinFET,AM4,,PCIe 4.0,Not included,,105W,,90°C,,Up to 3200MHz,DDR4,,,,Discrete Graphics Card Required,,"AMD ""Zen 3"" Core Architecture, AMD StoreMI Technology, AMD Ryzen™ Master Utility, AMD Ryzen™ VR-Ready Premium",,
3,AMD Ryzen 5 5600X,AMD Ryzen™ Processors,AMD Ryzen™ 5 Desktop Processors,Boxed Processor,100-000000065,100-100000065BOX,100-100000065MPK,11/5/2020,6,12,,,3.7GHz,Up to 4.6GHz,,3MB,32MB,Yes,TSMC 7nm FinFET,AM4,,PCIe 4.0,Wraith Stealth,,65W,,95°C,,Up to 3200MHz,DDR4,,,,Discrete Graphics Card Required,,"AMD ""Zen 3"" Core Architecture, AMD StoreMI Technology, AMD Ryzen™ Master Utility, AMD Ryzen™ VR-Ready Premium",,
4,AMD Ryzen 9 3900XT,AMD Ryzen™ Processors,AMD Ryzen™ 9 Desktop Processors,Boxed Processor,,100-100000277WOF,,7/2020,12,24,,,3.8GHz,Up to 4.7GHz,,6MB,64MB,Yes,TSMC 7nm FinFET,,,PCIe 4.0,Not included,,105W,,,,Up to 3200MHz,DDR4,,,,Discrete Graphics Card Required,,"AMD StoreMI Technology, AMD Ryzen™ Master Utility",,
5,AMD Ryzen 7 3800XT,AMD Ryzen™ Processors,AMD Ryzen™ 7 Desktop Processors,Boxed Processor,,100-100000279WOF,,7/2020,8,16,,,3.9GHz,Up to 4.7GHz,,4MB,32MB,Yes,TSMC 7nm FinFET,AM4,,PCIe 4.0,Not included,,105W,,,,Up to 3200MHz,DDR4,,,,Discrete Graphics Card Required,,"AMD StoreMI Technology, AMD Ryzen™ Master Utility",,
6,AMD Ryzen 5 3600XT,AMD Ryzen™ Processors,AMD Ryzen™ 5 Desktop Processors,Boxed Processor,,100-100000281BOX,,7/2020,6,12,,,3.8GHz,Up to 4.5GHz,,3MB,32MB,Yes,TSMC 7nm FinFET,AM4,,PCIe 4.0,Wraith Spire,,95W,,,,Up to 3200MHz,DDR4,,,,Discrete Graphics Card Required,,"AMD StoreMI Technology, AMD Zen Core Architecture, AMD Ryzen™ Master Utility",,
7,AMD Ryzen Threadripper PRO 3995WX,AMD Ryzen™ PRO Processors,AMD Ryzen™ Threadripper™ PRO Processors,Desktop,100-000000087,,,7/14/2020,64,128,,,2.7GHz,Up to 4.2GHz,4096KB,32MB,256MB,No,TSMC 7nm FinFET,,1P,PCIe 4.0,,,280W,,90°C,Windows 10 - 64-Bit Edition  *Operating System (OS) support will vary by manufacturer.,Up to 3200MHz,DDR4,8,,,Discrete Graphics Card Required,,AMD Zen Core Architecture,,
8,AMD Ryzen Threadripper PRO 3975WX,AMD Ryzen™ PRO Processors,AMD Ryzen™ Threadripper™ PRO Processors,Desktop,100-000000086,,,7/14/2020,32,64,,,3.5GHz,Up to 4.2GHz,2048KB,16MB,128MB,No,TSMC 7nm FinFET,,1P,PCIe 4.0,,,280W,,90°C,Windows 10 - 64-Bit Edition  *Operating System (OS) support will vary by manufacturer.,Up to 3200MHz,DDR4,8,,,Discrete Graphics Card Required,,AMD Zen Core Architecture,,
9,AMD Ryzen Threadripper PRO 3955WX,AMD Ryzen™ PRO Processors,AMD Ryzen™ Threadripper™ PRO Processors,Desktop,100-000000167,,,7/14/2020,16,32,,,3.9GHz,Up to 4.3GHz,1024KB,8MB,64MB,No,TSMC 7nm FinFET,,1P,PCIe 4.0,,,280W,,90°C,Windows 10 - 64-Bit Edition  *Operating System (OS) support will vary by manufacturer.,Up to 3200MHz,DDR4,8,,,Discrete Graphics Card Required,,AMD Zen Core Architecture,,
10,AMD Ryzen Threadripper PRO 3945WX,AMD Ryzen™ PRO Processors,AMD Ryzen™ Threadripper™ PRO Processors,Desktop,100-000000168,,,7/14/2020,12,24,,,4.0GHz,Up to 4.3GHz,768KB,6MB,64MB,No,TSMC 7nm FinFET,,1P,PCIe 4.0,,,280W,,90°C,Windows 10 - 64-Bit Edition  *Operating System (OS) support will vary by manufacturer.,Up to 3200MHz,DDR4,8,,,Discrete Graphics Card Required,,AMD Zen Core Architecture,,
11,AMD Ryzen Threadripper 3990X,AMD Ryzen™ Processors,AMD Ryzen™ Threadripper™ Processors,Boxed Processor,100-000000163,100-100000163WOF,,2/7/2020,64,128,,,2.9GHz,Up to 4.3GHz,4096KB,32MB,256MB,Yes,TSMC 7nm FinFET,sTRX4,,PCIe 4.0,Not included,,280W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 3200MHz,DDR4,4,,,Discrete Graphics Card Required,,"AMD Zen Core Architecture, AMD Ryzen™ Master Utility",,
12,AMD Ryzen Threadripper 3970X,AMD Ryzen™ Processors,AMD Ryzen™ Threadripper™ Processors,Boxed Processor,100-000000011,100-100000011WOF,,11/25/2019,32,64,,,3.7GHz,Up to 4.5GHz,2048KB,16MB,128MB,Yes,TSMC 7nm FinFET,sTRX4,,PCIe 4.0,Not included,,280W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 3200MHz,DDR4,4,,,Discrete Graphics Card Required,,"AMD Zen Core Architecture, AMD Ryzen™ Master Utility",,
13,AMD Ryzen Threadripper 3960X,AMD Ryzen™ Processors,AMD Ryzen™ Threadripper™ Processors,Boxed Processor,100-000000010,100-100000010WOF,,11/25/2019,24,48,,,3.8GHz,Up to 4.5GHz,1536KB,12MB,128MB,Yes,TSMC 7nm FinFET,sTRX4,,PCIe 4.0,Not included,,280W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 3200MHz,DDR4,4,,,Discrete Graphics Card Required,,"AMD Zen Core Architecture, AMD Ryzen™ Master Utility",,
14,AMD Ryzen 9 3950X,AMD Ryzen™ Processors,AMD Ryzen™ 9 Desktop Processors,Boxed Processor,100-000000051,100-100000051WOF,,,16,32,,,3.5GHz,Up to 4.7GHz,1024KB,8MB,64MB,Yes,TSMC 7nm FinFET,AM4,,PCIe 4.0 x16,"Cooler Not Included, Liquid Cooling Recommended",,105W,,,,Up to 3200MHz,DDR4,2,,,Discrete Graphics Card Required,,,,
15,AMD Ryzen 9 3900X,AMD Ryzen™ Processors,AMD Ryzen™ 9 Desktop Processors,Boxed Processor,100-000000023,100-100000023BOX,100-100000023MPK,7/7/2019,12,24,,,3.8GHz,Up to 4.6GHz,768KB,6MB,64MB,Yes,TSMC 7nm FinFET,AM4,,PCIe 4.0 x16,Wraith Prism with RGB LED,Wraith PRISM,105W,,95°C,,Up to 3200MHz,DDR4,2,,,Discrete Graphics Card Required,,,,
16,AMD Ryzen 9 3900 Processor (OEM Only),AMD Ryzen™ Processors,AMD Ryzen™ 9 Desktop Processors,Desktop,,,,9/24/2019,12,24,,,3.1GHz,Up to 4.3GHz,768KB,6MB,64MB,Yes,TSMC 7nm FinFET,AM4,,PCIe 4.0 x16,,,65W,,95°C,,Up to 3200MHz,DDR4,2,,,Discrete Graphics Card Required,,,,
17,AMD Ryzen 7 3800X,AMD Ryzen™ Processors,AMD Ryzen™ 7 Desktop Processors,Boxed Processor,100-000000025,100-100000025BOX,100-100000025MPK,7/7/2019,8,16,,,3.9GHz,Up to 4.5GHz,512KB,4MB,32MB,Yes,TSMC 7nm FinFET,AM4,,PCIe 4.0 x16,Wraith Prism with RGB LED,Wraith PRISM,105W,,95°C,,Up to 3200MHz,DDR4,2,,,Discrete Graphics Card Required,,,,
18,AMD Ryzen 7 3700X,AMD Ryzen™ Processors,AMD Ryzen™ 7 Desktop Processors,Boxed Processor,100-000000071,100-100000071BOX,100-100000071MPK,7/7/2019,8,16,,,3.6GHz,Up to 4.4GHz,512KB,4MB,32MB,Yes,TSMC 7nm FinFET,AM4,,PCIe 4.0 x16,Wraith Prism with RGB LED,Wraith PRISM,65W,,95°C,,Up to 3200MHz,DDR4,2,,,Discrete Graphics Card Required,,,,
19,AMD Ryzen 5 3600X,AMD Ryzen™ Processors,AMD Ryzen™ 5 Desktop Processors,Boxed Processor,100-000000022,100-100000022BOX,100-100000022MPK,7/7/2019,6,12,,,3.8GHz,Up to 4.4GHz,384KB,3MB,32MB,Yes,TSMC 7nm FinFET,AM4,,PCIe 4.0 x16,Wraith Spire,Wraith Spire,95W,,95°C,,Up to 3200MHz,DDR4,2,,,Discrete Graphics Card Required,,,,
20,AMD Ryzen 5 3600,AMD Ryzen™ Processors,AMD Ryzen™ 5 Desktop Processors,Boxed Processor,100-000000031,100-100000031BOX,100-100000031MPK,7/7/2019,6,12,,,3.6GHz,Up to 4.2GHz,384KB,3MB,32MB,Yes,TSMC 7nm FinFET,AM4,,PCIe 4.0 x16,Wraith Stealth,Wraith Stealth,65W,,95°C,,Up to 3200MHz,DDR4,2,,,Discrete Graphics Card Required,,,,
21,AMD Ryzen 3 3300X,AMD Ryzen™ Processors,AMD Ryzen™ 3 Desktop Processors,Boxed Processor,100-000000159,100-100000159BOX,100-100000159MPK,05/2020,4,8,,,3.8GHz,Up to 4.3GHz,256KB,2MB,16MB,Yes,TSMC 7nm FinFET,AM4,,PCIe® 4.0,Wraith Stealth,,65W,,,,Up to 3200MHz,DDR4,,,,Discrete Graphics Card Required,,"AMD Zen Core Architecture, AMD Ryzen™ Master Utility, AMD Ryzen™ VR-Ready Premium",,
22,AMD Ryzen 7 4700G (OEM Only),AMD Ryzen™ Processors,AMD Ryzen™ 7 4000 G-Series Desktop Processors with Radeon™ Graphics,Desktop,100-000000146,,,7/21/2020,8,16,8,,3.6GHz,Up to 4.4GHz,512KB,4MB,8MB,Yes,TSMC 7nm FinFET,AM4,,PCIe® 3.0,,,65W,45-65W,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 3200MHz,DDR4,2,2100 MHz,,Radeon™ Graphics,8,,Yes,Yes
23,AMD Ryzen 3 3100,AMD Ryzen™ Processors,AMD Ryzen™ 3 Desktop Processors,Boxed Processor,100-000000284,100-100000284BOX,100-100000284MPK,05/2020,4,8,,,3.6GHz,Up to 3.9GHz,256KB,2MB,16MB,Yes,TSMC 7nm FinFET,AM4,,PCIe 4.0,Wraith Stealth,,65W,,,,Up to 3200MHz,DDR4,,,,Discrete Graphics Card Required,,"AMD Zen Core Architecture, AMD Ryzen™ Master Utility, AMD Ryzen™ VR-Ready Premium",,
24,AMD Ryzen 5 4600G (OEM Only),AMD Ryzen™ Processors,AMD Ryzen™ 5 4000 G-Series Desktop Processors with Radeon™ Graphics,Desktop,100-000000147,,,7/21/2020,6,12,7,,3.7GHz,Up to 4.2GHz,384KB,3MB,8MB,Yes,TSMC 7nm FinFET,AM4,,PCIe® 3.0,,,65W,45-65W,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 3200MHz,DDR4,2,1900 MHz,,Radeon™  Graphics,7,,Yes,Yes
25,AMD Ryzen 3 4300G (OEM Only),AMD Ryzen™ Processors,AMD Ryzen™ 3 4000 G-Series Desktop Processors with Radeon™ Graphics,Desktop,100-000000144,,,7/21/2020,4,8,6,,3.8GHz,Up to 4.0GHz,256KB,2MB,4MB,Yes,TSMC 7nm FinFET,AM4,,PCIe® 3.0,,,65W,45-65W,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 3200MHz,DDR4,2,1700 MHz,,Radeon™  Graphics,6,,Yes,Yes
26,AMD Ryzen 5 3500 Processor (OEM Only),AMD Ryzen™ Processors,AMD Ryzen™ 5 Desktop Processors,Desktop,100-000000050,,,,6,6,,,3.6GHz,Up to 4.1GHz,384KB,3MB,16MB,Yes,TSMC 7nm FinFET,AM4,,PCIe 4.0 x16,,,65W,,95°C,,Up to 3200MHz,DDR4,2,,,Discrete Graphics Card Required,,,,
27,AMD Ryzen 7 4700GE (OEM Only),AMD Ryzen™ Processors,AMD Ryzen™ 7 4000 G-Series Desktop Processors with Radeon™ Graphics,Desktop,100-000000149,,,7/21/2020,8,16,8,,3.1GHz,Up to 4.3GHz,512KB,4MB,8MB,Yes,TSMC 7nm FinFET,AM4,,PCIe® 3.0,,,35W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 3200MHz,DDR4,2,2000 MHz,,Radeon™  Graphics,8,,Yes,Yes
28,AMD Ryzen 5 4600GE (OEM Only),AMD Ryzen™ Processors,AMD Ryzen™ 5 4000 G-Series Desktop Processors with Radeon™ Graphics,Desktop,100-000000150,,,7/21/2020,6,12,7,,3.3GHz,Up to 4.2GHz,384KB,3MB,8MB,Yes,TSMC 7nm FinFET,AM4,,PCIe® 3.0,,,35W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 3200MHz,DDR4,2,1900 MHz,,Radeon™  Graphics,7,,Yes,Yes
29,AMD Ryzen 3 4300GE (OEM Only),AMD Ryzen™ Processors,AMD Ryzen™ 3 4000 G-Series Desktop Processors with Radeon™ Graphics,Desktop,100-000000151,,,7/21/2020,4,8,6,,3.5GHz,Up to 4.0GHz,256KB,2MB,4MB,Yes,TSMC 7nm FinFET,AM4,,PCIe® 3.0,,,35W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 3200MHz,DDR4,2,1700 MHz,,Radeon™  Graphics,6,,Yes,Yes
30,AMD Ryzen 9 4900H,AMD Ryzen™ Processors,AMD Ryzen™ 9 Mobile Processors with Radeon™ Graphics,Laptop,,,,3/16/20,8,16,8,,3.3GHz,Up to 4.4GHz,,4MB,8MB,No,TSMC 7nm FinFET,FP6,,PCIe® 3.0,,,35-54W,,105°C,,,"DDR4 - Up to 3200MHz, LPDDR4 - Up to 4266MHz",,1750 MHz,,AMD Radeon™ Graphics,8,,Yes,Yes
31,AMD Ryzen 9 4900HS,AMD Ryzen™ Processors,AMD Ryzen™ 9 Mobile Processors with Radeon™ Graphics,Laptop,,,,,8,16,8,,3.0GHz,Up to 4.3GHz,,4MB,8MB,No,TSMC 7nm FinFET,FP6,,PCIe® 3.0,,,35W,,105°C,,,"DDR4 - Up to 3200MHz, LPDDR4 - Up to 4266MHz",,1750 MHz,,AMD Radeon™ Graphics,8,,Yes,Yes
32,AMD Ryzen 7 4800HS,AMD Ryzen™ Processors,AMD Ryzen™ 7 Mobile Processors with Radeon™ Graphics,Laptop,,,,,8,16,7,,2.9GHz,Up to 4.2GHz,,4MB,8MB,,TSMC 7nm FinFET,FP6,,PCIe® 3.0,,,45W,35-54W,105°C,,,"DDR4 - Up to 3200MHz, LPDDR4 - Up to 4266MHz",,1600 MHz,,AMD Radeon™ Graphics,7,,Yes,Yes
33,AMD Ryzen 7 4800H,AMD Ryzen™ Processors,AMD Ryzen™ 7 Mobile Processors with Radeon™ Graphics,Laptop,100-000000098,,,1/6/2020,8,16,7,,2.9GHz,Up to 4.2GHz,,4MB,8MB,,TSMC 7nm FinFET,FP6,,PCIe® 3.0,,,45W,35-54W,105°C,,,"DDR4 - Up to 3200MHz, LPDDR4 - Up to 4266MHz",,1600 MHz,,AMD Radeon™ Graphics,7,,Yes,Yes
34,AMD Ryzen 5 4600H,AMD Ryzen™ Processors,AMD Ryzen™ 5 Mobile Processors with Radeon™ Graphics,Laptop,100-000000100,,,1/6/2020,6,12,6,,3.0GHz,Up to 4.0GHz,,3MB,8MB,,TSMC 7nm FinFET,FP6,,PCIe® 3.0,,,45W,35-54W,105°C,,,"DDR4 - Up to 3200MHz, LPDDR4 - Up to 4266MHz",,1500 MHz,,AMD Radeon™ Graphics,6,,Yes,Yes
35,AMD Ryzen 7 4800U,AMD Ryzen™ Processors,AMD Ryzen™ 7 Mobile Processors with Radeon™ Graphics,Laptop,100-000000082,,,1/6/2020,8,16,8,,1.8GHz,Up to 4.2GHz,,4MB,8MB,,TSMC 7nm FinFET,FP6,,PCIe® 3.0,,,15W,10-25W,105°C,,,"DDR4 - Up to 3200MHz, LPDDR4 - Up to 4266MHz",,1750 MHz,,AMD Radeon™ Graphics,8,,Yes,Yes
36,AMD Ryzen 7 4700U,AMD Ryzen™ Processors,AMD Ryzen™ 7 Mobile Processors with Radeon™ Graphics,Laptop,100-000000083,,,1/6/2020,8,8,7,,2.0GHz,Up to 4.1GHz,,4MB,8MB,,TSMC 7nm FinFET,FP6,,PCIe® 3.0,,,15W,10-25W,105°C,,,"DDR4 - Up to 3200MHz, LPDDR4 - Up to 4266MHz",,1600 MHz,,AMD Radeon™ Graphics,7,,Yes,Yes
37,AMD Ryzen 5 4600U,AMD Ryzen™ Processors,AMD Ryzen™ 5 Mobile Processors with Radeon™ Graphics,Laptop,100-000000105,,,1/6/2020,6,12,6,,2.1GHz,Up to 4.0GHz,,3MB,8MB,,TSMC 7nm FinFET,FP6,,PCIe® 3.0,,,15W,10-25W,105°C,,,"DDR4 - Up to 3200MHz, LPDDR4 - Up to 4266MHz",,1500 MHz,,AMD Radeon™ Graphics,6,,Yes,Yes
38,AMD Ryzen 5 4500U,AMD Ryzen™ Processors,AMD Ryzen™ 5 Mobile Processors with Radeon™ Graphics,Laptop,100-000000084,,,1/6/2020,6,6,6,,2.3GHz,Up to 4.0GHz,,3MB,8MB,,TSMC 7nm FinFET,FP6,,PCIe® 3.0,,,15W,10-25W,105°C,,,"DDR4 - Up to 3200MHz, LPDDR4 - Up to 4266MHz",,1500 MHz,,AMD Radeon™ Graphics,6,,Yes,Yes
39,AMD Ryzen 3 4300U,AMD Ryzen™ Processors,AMD Ryzen™ 3 Mobile Processors with Radeon™ Graphics,Laptop,100-000000085,,,1/6/2020,4,4,5,,2.7GHz,Up to 3.7GHz,,2MB,4MB,,TSMC 7nm FinFET,FP6,,PCIe® 3.0,,,15W,10-25W,105°C,,,"DDR4 - Up to 3200MHz, LPDDR4 - Up to 4266MHz",,1400 MHz,,AMD Radeon™ Graphics,5,,Yes,Yes
40,AMD Ryzen 3 3250U,AMD Ryzen™ Processors,AMD Ryzen™ 3 Mobile Processors with Radeon™ Graphics,Laptop,YM3250C4T2OFG,,,1/6/2020,2,4,3,,2.6GHz,Up to 3.5GHz,192KB,1MB,4MB,,14nm,FP5,,PCIe® 3.0,,,15W,12-25W,95°C,,Up to 2400MHz,DDR4,2,1200 MHz,,AMD Radeon™ Graphics,3,,Yes,Yes
41,AMD 3020e,AMD,AMD 3000 Series Mobile Processors with Radeon™ Graphics,Laptop,YM3020C7T2OFG​,,,1/6/2020,2,2,3,,1.2GHz,Up to 2.6GHz,,1MB,4MB,,14nm,,,PCIe® 3.0,,,6W,N/AW,,,Up to 2400MHz,DDR4,2,1000 MHz,,AMD Radeon™ Graphics,3,,Yes,Yes
42,AMD 3015e,AMD,AMD 3000 Series Mobile Processors with Radeon™ Graphics,Laptop,AM3015BRP2OFJ,,,7/6/2020,2,4,3,,1.2GHz,Up to 2.3GHz,,1MB,4MB,No,14nm,FT5,,PCIe® 3.0,,,6W,,105°C,,Up to 1600MHz,DDR4,1,600 MHz,,AMD Radeon™ Graphics,,,Yes,Yes
43,AMD Ryzen 5 3400G with Radeon RX Vega 11 Graphics,AMD Ryzen™ Processors,AMD Ryzen™ 5 Desktop Processors with Radeon™ Vega Graphics,Boxed Processor,YD3400C5M4MFH,YD3400C5FHBOX,YD3400C5FHMPK,7/7/2019,4,8,11,,3.7GHz,Up to 4.2GHz,384KB,2MB,4MB,Yes,12nm FinFET,AM4,,PCIe® 3.0 x8,Wraith Spire,Wraith Spire,65W,45-65W,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2933MHz,DDR4,2,1400 MHz,,Radeon™ RX Vega 11 Graphics,11,,Yes,Yes
44,AMD Ryzen 5 3400GE (OEM Only),AMD Ryzen™ Processors,AMD Ryzen™ 5 Desktop Processors with Radeon™ Vega Graphics,Desktop,YD3400C6M4MFH,,,7/7/19,4,8,11,,3.3GHz,Up to 4.0GHz,384KB,2MB,4MB,Yes,12nm,AM4,,PCIe® 3.0,,,35W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2933MHz,,2,1300 MHz,,Radeon™ Vega 11 Graphics,11,,Yes,Yes
45,AMD Ryzen 3 3200G with Radeon Vega 8 Graphics,AMD Ryzen™ Processors,AMD Ryzen™ 3 Desktop Processors with Radeon™ Vega Graphics,Boxed Processor,YD3200C5M4MFH,YD3200C5FHBOX,YD3200C5FHMPK,7/7/2019,4,4,8,,3.6GHz,Up to 4.0GHz,384KB,2MB,4MB,Yes,12nm FinFET,AM4,,PCIe® 3.0 x8,Wraith Stealth,Wraith Stealth,65W,45-65W,95°C,,Up to 2933MHz,DDR4,2,1250 MHz,,Radeon™ Vega 8 Graphics,8,,Yes,Yes
46,AMD Ryzen 7 3780U Microsoft Surface® Edition,AMD Ryzen™ Processors,AMD Ryzen™ 7 Mobile Processors with Radeon™ RX Vega 11 Graphics Microsoft Surface® Edition,Laptop,,,,,4,8,11,,2.3GHz,Up to 4.0GHz,384KB,2MB,4MB,No,12nm,FP5,,PCIe® 3.0,,,15W,12-35W,105°C,,Up to 2400MHz,,2,1400 MHz,,Radeon™ RX Vega 11 Graphics,11,"AMD Zen+ (Core) Architecture, AMD FreeSync™ Technology, DirectX® 12 Technology",Yes,Yes
47,AMD Ryzen 3 3200GE (OEM Only),AMD Ryzen™ Processors,AMD Ryzen™ 3 Desktop Processors with Radeon™ Vega Graphics,Desktop,YD3200C6M4MFH,,,7/7/19,4,4,8,,3.3GHz,Up to 3.8GHz,384KB,2MB,4MB,Yes,12nm,AM4,,PCIe® 3.0,,,35W,,95°C,,Up to 2933MHz,,2,1200 MHz,,Radeon™ Vega 8 Graphics,8,,Yes,Yes
48,AMD Athlon 320GE,AMD Athlon™ Processors,AMD Athlon™ Desktop Processors with Radeon™ Vega Graphics,Desktop,YD32GEC6M2OFH,YD32GEC6FHBOX,,7/7/2019,2,4,3,,3.5GHz,,192KB,1MB,4MB,Yes,14nm FinFET,AM4,,PCIe® 3.0,,,35W,,95°C,,Up to 2667MHz,DDR4,2,1100 MHz,,Radeon™ Vega 3 Graphics,3,,Yes,Yes
49,AMD Athlon 300GE,AMD Athlon™ Processors,AMD Athlon™ Desktop Processors with Radeon™ Vega Graphics,Desktop,YD30GEC6M2OFH,,,7/7/19,2,4,3,,3.4GHz,,192KB,1MB,4MB,Yes,14nm,AM4,,PCIe® 3.0,,,35W,,95°C,,Up to 2667MHz,,2,1100 MHz,,Radeon™ Vega 3 Graphics,3,,Yes,Yes
50,AMD Ryzen 7 3750H,AMD Ryzen™ Processors,AMD Ryzen™ 7 Mobile Processors with Radeon™ RX Vega Graphics,Laptop,YM3700C4T4MFG,,,Q1 2019,4,8,10,,2.3GHz,Up to 4.0GHz,384KB,2MB,4MB,No,12nm,FP5,,PCIe® 3.0,,,35W,12-35W,105°C,,Up to 2400MHz,,2,1400 MHz,,Radeon™ RX Vega 10 Graphics,10,"AMD SenseMI Technology, AMD Zen Core Architecture, AMD FreeSync™ Technology, DirectX® 12 Technology",Yes,Yes
51,AMD Ryzen 5 3550H,AMD Ryzen™ Processors,AMD Ryzen™ 5 Mobile Processors with Radeon™ Vega Graphics,Laptop,YM3500C4T4MFG,,,Q1 2019,4,8,8,,2.1GHz,Up to 3.7GHz,384KB,2MB,4MB,No,12nm,FP5,,PCIe® 3.0,,,35W,12-35W,105°C,,Up to 2400MHz,,2,1200 MHz,,Radeon™ Vega 8 Graphics,8,"AMD SenseMI Technology, AMD Zen Core Architecture, AMD FreeSync™ Technology, DirectX® 12 Technology",Yes,Yes
52,AMD Ryzen 7 3700U,AMD Ryzen™ Processors,AMD Ryzen™ 7 Mobile Processors with Radeon™ RX Vega Graphics,Laptop,YM3700C4T4MFG,,,Q1 2019,4,8,10,,2.3GHz,Up to 4.0GHz,384KB,2MB,4MB,No,12nm,FP5,,PCIe® 3.0,,,15W,12-35W,105°C,,Up to 2400MHz,DDR4,2,1400 MHz,,Radeon™ RX Vega 10 Graphics,10,"AMD SenseMI Technology, AMD Zen Core Architecture, AMD FreeSync™ Technology, DirectX® 12 Technology",Yes,Yes
53,AMD Ryzen 5 3500U,AMD Ryzen™ Processors,AMD Ryzen™ 5 Mobile Processors with Radeon™ Vega Graphics,Laptop,YM3500C4T4MFG,,,Q1 2019,4,8,8,,2.1GHz,Up to 3.7GHz,384KB,2MB,4MB,No,12nm,FP5,,PCIe® 3.0,,,15W,12-35W,105°C,,Up to 2400MHz,,2,1200 MHz,,Radeon™ Vega 8 Graphics,8,"AMD SenseMI Technology, AMD Zen Core Architecture, AMD FreeSync™ Technology, DirectX® 12 Technology",Yes,Yes
54,AMD Ryzen 7 3700C,AMD Ryzen™ Processors,AMD Ryzen™ 7 Mobile Processors with Radeon™ Graphics,Laptop,YM370CC4T4MFG,,,9/22/2020,4,8,10,,2.3GHz,Up to 4.0GHz,384KB,2MB,4MB,No,12nm,FP5,,,,,15W,12-25W,105°C,Chrome  *Operating System (OS) support will vary by manufacturer.,,,,1400 MHz,,AMD Radeon™ Graphics,10,,Yes,Yes
