Index,Index,UserID,gameRating,desktopRating,workRating,CPU,CPURating,GPU,GPURating,GPUType,CPUType
49,50,36281183,62%,91%,54%,Intel Core i7-9750H,85.60%,Nvidia RTX 2060 (Mobile),66.50%,Nvidia,Intel
50,51,36281189,75%,93%,71%,AMD Ryzen 5 3600XT,82.20%,Nvidia RTX 2060,83.70%,Nvidia,AMD
51,52,36281191,100%,93%,95%,AMD Ryzen 5 3600XT,89.40%,Nvidia RTX 2070,108.80%,Nvidia,AMD
52,53,36281193,94%,92%,79%,Intel Core i5-9400F,90.20%,Nvidia RTX 2060S (Super),101.20%,Nvidia,Intel
53,54,36281200,57%,81%,57%,AMD Ryzen 7 2700,73.70%,Nvidia GTX 1070,70%,Nvidia,AMD
54,55,36281213,53%,85%,44%,Intel Core i7-4770K,81.20%,Nvidia GTX 1650S (Super),62.50%,Nvidia,Intel
55,56,36281220,91%,87%,84%,AMD Ryzen 5 2600,85%,Nvidia RTX 2060,101.80%,Nvidia,AMD
56,57,36281223,55%,83%,51%,AMD Ryzen 5 1600,78.80%,Nvidia GTX 1060-6GB,60.30%,Nvidia,AMD
57,58,36281228,79%,86%,66%,Intel Core i7-3770K,85.60%,Nvidia RTX 2060,92%,Nvidia,Intel
58,59,36281232,42%,85%,38%,Intel Core i7-5820K,82.20%,Nvidia GTX 970,43.10%,Nvidia,Intel
59,60,36281236,0%,5%,0%,Intel Celeron N3050,2.50%,Intel HD Graphics,1.20%,Intel,Intel
60,61,36281243,38%,75%,29%,Intel Core i5-2320,73.90%,Nvidia GTX 970,52.30%,Nvidia,Intel
61,62,36281249,12%,77%,11%,AMD Ryzen 3 3200G,82.50%,AMD RX 580,7.70%,AMD,AMD
62,63,36281256,99%,90%,118%,AMD Ryzen 9 3900X,86%,Nvidia RTX 2070S (Super),116%,Nvidia,AMD
63,64,36281266,83%,100%,76%,Intel Core i7-8700,95.70%,Nvidia GTX 980-Ti,80.80%,Nvidia,Intel
64,65,36281275,169%,100%,185%,Intel Core i9-10850K,100.20%,Nvidia RTX 3070,172.60%,Nvidia,Intel
65,66,36281279,129%,87%,106%,Intel Core i7-4790K,83.30%,Nvidia RTX 3070,161.30%,Nvidia,Intel
66,67,36281312,28%,98%,28%,AMD Ryzen 7 3700X,93.10%,Nvidia RTX 2080S (Super),18.40%,Nvidia,AMD
67,68,36281318,89%,89%,92%,AMD Ryzen 7 3700X,87.30%,Nvidia RTX 2060S (Super),100.80%,Nvidia,AMD
68,69,36281326,106%,99%,107%,AMD Ryzen 7 3800X,93.20%,Nvidia GTX 1080,109.30%,Nvidia,AMD
69,70,36281336,26%,71%,22%,AMD FX-8350,67.40%,Nvidia GTX 1050-Ti,34.50%,Nvidia,AMD
70,71,36281342,50%,81%,37%,Intel Core i3-6100,70.40%,Nvidia GTX 1660S (Super),68.90%,Nvidia,Intel
71,72,36281352,43%,84%,34%,Intel Core i5-4690K,80.70%,Nvidia GTX 970,48.60%,Nvidia,Intel
72,73,36281362,132%,90%,111%,Intel Core i7-7700K,93.40%,Nvidia GTX 1080-Ti,145.40%,Nvidia,Intel
73,74,36281369,58%,94%,57%,AMD Ryzen 7 3700X,87.80%,AMD RX 590,56.50%,AMD,AMD
74,75,36281374,46%,88%,46%,AMD Ryzen 5 3600,80%,AMD RX 580,51.20%,AMD,AMD
75,76,36281379,105%,99%,105%,AMD Ryzen 7 3700X,93.80%,AMD RX 5700-XT,106.70%,AMD,AMD
76,77,36281388,82%,99%,76%,Intel Core i7-10750H,90.50%,Nvidia RTX 2070 (Mobile),84.70%,Nvidia,Intel
77,78,36281393,48%,88%,42%,Intel Core i7-8700K,83%,Nvidia GTX 1060-6GB,55.10%,Nvidia,Intel
78,79,36281396,55%,93%,50%,Intel Core i7-8700,91.20%,Nvidia GTX 1060-6GB,55.40%,Nvidia,Intel
79,80,36281407,63%,94%,58%,Intel Core i5-10600K,94.10%,Nvidia GTX 1060-6GB,61.70%,Nvidia,Intel
80,81,36281412,7%,59%,6%,AMD FX-4300,62.20%,Nvidia GeForce GT 730,4%,Nvidia,AMD
81,82,36281424,29%,94%,29%,AMD Ryzen 9 4900HS,91.10%,AMD Radeon Graphics,21.30%,AMD,AMD
82,83,36281431,135%,103%,139%,Intel Core i7-10700K,99.40%,Nvidia RTX 2070S (Super),134.70%,Nvidia,Intel
83,84,36281447,92%,89%,92%,AMD Ryzen 7 2700X,86.90%,Nvidia RTX 2070,101.60%,Nvidia,AMD
84,85,36281461,61%,89%,54%,Intel Core i7-9750H,79.80%,Nvidia GTX 1660-Ti (Mobile),69.60%,Nvidia,Intel
85,86,36281466,82%,89%,76%,Intel Core i5-10400F,86.90%,Nvidia RTX 2060,91.50%,Nvidia,Intel
86,87,36281702,46%,79%,39%,Intel Core i7-6700,73.30%,Nvidia GTX 1060-6GB,58.40%,Nvidia,Intel
87,88,36281707,128%,94%,118%,Intel Core i7-8086K,93.90%,Nvidia GTX 1080-Ti,137.20%,Nvidia,Intel
88,89,36281712,23%,77%,18%,Intel Core i5-3550,70%,Nvidia GTX 1050,27%,Nvidia,Intel
89,90,36281718,64%,86%,55%,Intel Core i7-6700K,81.20%,Nvidia GTX 1660S (Super),74.80%,Nvidia,Intel
90,91,36281724,116%,103%,108%,Intel Core i7-8700K,99.70%,Nvidia GTX 1070-Ti,113.10%,Nvidia,Intel
91,92,36281725,92%,92%,86%,AMD Ryzen 5 3600X,86.30%,Nvidia RTX 2070,102.80%,Nvidia,AMD
92,93,36281733,208%,103%,209%,Intel Core i7-10700K,98.70%,Nvidia RTX 3080,214.50%,Nvidia,Intel
93,94,36281741,170%,95%,160%,AMD Ryzen 5 5600X,90.40%,Nvidia RTX 3080,191.60%,Nvidia,AMD
94,95,36281749,70%,90%,60%,Intel Core i5-9400F,89.70%,Nvidia GTX 1070,74.70%,Nvidia,Intel
95,96,36281759,66%,91%,63%,AMD Ryzen 5 3600X,85.30%,Nvidia GTX 1660S (Super),72.30%,Nvidia,AMD
96,97,36281763,131%,97%,118%,Intel Core i7-8700K,95.80%,Nvidia GTX 1080-Ti,135.10%,Nvidia,Intel
97,98,36281774,119%,101%,133%,AMD Ryzen 9 3900X,95.30%,AMD RX 5700-XT,120.70%,AMD,AMD
98,99,36281785,2%,15%,2%,Intel Celeron N4000,8.70%,Intel UHD Graphics 600,0.80%,Intel,Intel
99,100,36281790,39%,103%,42%,Intel Core i9-10900KF,106.60%,Nvidia RTX 3080,30.10%,Nvidia,Intel
100,101,36281795,94%,91%,93%,AMD Ryzen 7 2700X,85.40%,Nvidia RTX 2070,104.60%,Nvidia,AMD
101,102,36281799,132%,104%,126%,Intel Core i7-9700K,101.30%,Nvidia RTX 2070S (Super),128.30%,Nvidia,Intel
102,103,36281805,10%,73%,9%,Intel Core i7-8750H,73.90%,Intel UHD Graphics 630,7%,Intel,Intel
103,104,36281807,1%,51%,1%,Intel Core i7-5500U,55.70%,Intel HD 5500 (Mobile 0.95 GHz),0.60%,Intel,Intel
104,105,36281811,45%,100%,42%,Intel Core i7-10750H,94.20%,Nvidia Quadro T1000,41.50%,Nvidia,Intel
105,106,36281820,76%,92%,72%,AMD Ryzen 5 3600,85.10%,Nvidia GTX 1660S (Super),82.70%,Nvidia,AMD
106,107,36281826,7%,61%,6%,Intel Core i7-10510U,60%,Nvidia MX130,10.30%,Nvidia,Intel
107,108,36281828,97%,94%,99%,AMD Ryzen 7 3800X,87.20%,Nvidia GTX 1080,106.10%,Nvidia,AMD
108,109,36281830,22%,70%,18%,Intel Core i5-6500,64.60%,Nvidia GTX 1050-Ti,30.80%,Nvidia,Intel
109,110,36281846,69%,92%,67%,Intel Core i7-5960X,91.50%,Nvidia GTX Titan X,71.30%,Nvidia,Intel
110,111,36281850,40%,94%,35%,Intel Core i7-9750H,82%,Nvidia RTX 2070 (Mobile),39.80%,Nvidia,Intel
111,112,36281855,10%,57%,9%,AMD Ryzen 3 2200G,58.20%,AMD RX Vega 8 (Ryzen iGPU),10.20%,AMD,AMD
112,113,36281868,263%,103%,285%,Intel Core i9-10900K,104%,Nvidia RTX 3090,262.10%,Nvidia,Intel
113,114,36282067,124%,93%,112%,Intel Core i7-8700K,90.50%,Nvidia GTX 1080-Ti,136.30%,Nvidia,Intel
114,115,36282072,211%,109%,241%,AMD Ryzen 9 5900X,105.40%,Nvidia RTX 3080,204.10%,Nvidia,AMD
115,116,36282074,8%,62%,7%,Intel Core i7-4700MQ,69.50%,Nvidia GeForce GT 755M,8.30%,Nvidia,Intel
116,117,36282083,2%,60%,2%,Intel Core i5-2500,71.70%,Nvidia GeForce GT 220,2.60%,Nvidia,Intel
117,118,36282088,5%,52%,5%,Intel Core i7-6600U,52.10%,Intel HD 520 (Mobile Skylake),2.30%,Intel,Intel
118,119,36282096,4%,47%,3%,Intel Core i5-2520M,51.50%,Intel HD 3000 (Mobile V2 1.3 GHz),1.70%,Intel,Intel
119,120,36282112,52%,92%,45%,Intel Core i3-10100,84.40%,AMD RX 580,53.60%,AMD,Intel
120,121,36282113,79%,90%,76%,AMD Ryzen 5 3600X,84.70%,Nvidia RTX 2060,89.90%,Nvidia,AMD
121,122,36282120,26%,83%,23%,Intel Core i7-4770K,79%,AMD R9 270X,28.30%,AMD,Intel
122,123,36282121,72%,96%,72%,AMD Ryzen 9 4900HS,92.60%,Nvidia GeForce RTX 2060 with Max-Q Design,70.90%,Nvidia,AMD
123,124,36282128,132%,106%,133%,Intel Core i9-9900K,104.50%,Nvidia GTX 1080-Ti,124.10%,Nvidia,Intel
124,125,36282133,29%,95%,30%,AMD Ryzen 9 4900HS,88.90%,AMD Radeon Graphics,21%,AMD,AMD
125,126,36282137,5%,55%,4%,Intel Core i5-4210U,55.80%,Intel HD 4400 (Mobile 1.0/1.1 GHz),2.60%,Intel,Intel
126,127,36282143,45%,81%,38%,Intel Core i7-7700K,77.80%,Nvidia GTX 1060-3GB,53.90%,Nvidia,Intel
127,128,36282148,5%,55%,4%,AMD FX-6300,62.10%,Nvidia GeForce GT 730,5.30%,Nvidia,AMD
128,129,36282149,100%,91%,85%,Intel Core i5-9400F,90.60%,Nvidia RTX 2070,108.60%,Nvidia,Intel
129,130,36282159,41%,75%,34%,AMD FX-8350,70.50%,AMD RX 580,53.70%,AMD,AMD
130,131,36282164,95%,91%,90%,AMD Ryzen 5 3600,86.10%,Nvidia RTX 2060S (Super),106.40%,Nvidia,AMD
131,132,36282170,70%,96%,64%,Intel Core i5-10400F,92.30%,Nvidia GTX 1660S (Super),70%,Nvidia,Intel
132,133,36282173,28%,89%,28%,AMD Ryzen 5 3600,78.10%,Nvidia GTX 760,25.80%,Nvidia,AMD
133,134,36282181,13%,67%,12%,AMD Ryzen 5 3500U,64.20%,AMD Radeon Vega 8 Graphics,9.20%,AMD,AMD
134,135,36282191,72%,92%,61%,Intel Core i7-7700K,94.50%,Nvidia GTX 1070,75%,Nvidia,Intel
135,136,36282198,12%,84%,12%,Intel Core i7-10750H,91.30%,Intel UHD Graphics,2.30%,Intel,Intel
136,137,36282202,22%,82%,17%,Intel Core i5-3570K,76.50%,Nvidia GTX 1060-3GB,55.30%,Nvidia,Intel
137,138,36282211,32%,82%,26%,Intel Core i5-6600,75.90%,Nvidia GTX 770,35.50%,Nvidia,Intel
138,139,36282484,54%,97%,48%,AMD Ryzen 5 3500X,90.50%,AMD RX 570,49.90%,AMD,AMD
139,140,36282490,13%,47%,13%,AMD Ryzen 7 4800H,51%,AMD Radeon Graphics,8.30%,AMD,AMD
140,141,36282495,101%,101%,94%,Intel Core i5-10600K,102.40%,Nvidia GTX 1070,95%,Nvidia,Intel
141,142,36282500,102%,100%,106%,Intel Core i9-9900K,95.50%,Nvidia RTX 2070,104.90%,Nvidia,Intel
142,143,36282505,57%,96%,49%,Intel Core i7-6700K,87.30%,Nvidia GTX 980,57.30%,Nvidia,Intel
143,144,36282509,33%,92%,32%,AMD Ryzen 5 3600,88%,Nvidia GTX 1050-Ti,28.70%,Nvidia,AMD
144,145,36282523,70%,94%,70%,AMD Ryzen 9 4900HS,91.20%,Nvidia GeForce RTX 2060 with Max-Q Design,69.80%,Nvidia,AMD
145,146,36282532,31%,85%,27%,AMD Ryzen 3 3300X,84.10%,Nvidia GTX 960,34.60%,Nvidia,AMD
146,147,36282540,28%,78%,24%,Intel Core i7-8750H,68.90%,Nvidia GTX 1050-Ti (Mobile),31.50%,Nvidia,Intel
147,148,36282549,91%,88%,95%,AMD Ryzen 7 3700X,87.20%,Nvidia RTX 2070,103.70%,Nvidia,AMD
148,149,36282554,151%,102%,151%,Intel Core i9-9900KS,103.70%,Nvidia RTX 2080S (Super),145.90%,Nvidia,Intel
149,150,36282557,14%,67%,13%,AMD Ryzen 7 3700U,57.40%,AMD Radeon RX Vega 10 Graphics,9.70%,AMD,AMD
150,151,36282565,42%,75%,31%,Intel Core i3-4170,69.10%,Nvidia GTX 1650S (Super),60.80%,Nvidia,Intel
