Index,Index,UserID,gameRating,desktopRating,workRating,CPU,CPURating,GPU,GPURating,GPUType,CPUType
216,218,36284609,1%,64%,1%,Intel Core i5-4440,76.30%,Nvidia GeForce GT 630,3.40%,Nvidia,Intel
217,219,36284610,229%,100%,247%,Intel Core i9-10900KF,106.20%,Nvidia RTX 3080,223.20%,Nvidia,Intel
218,220,36284612,89%,97%,75%,Intel Core i7-4790K,88.40%,Nvidia GTX 1080,96.90%,Nvidia,Intel
219,221,36284614,12%,81%,11%,Intel Core i5-10600K,89.80%,Intel UHD Graphics 630,4.70%,Intel,Intel
220,222,36284618,36%,73%,27%,AMD FX-4350,65.70%,AMD RX 570,50.40%,AMD,AMD
221,223,36284621,75%,81%,73%,AMD Ryzen 7 2700X,78.40%,Nvidia RTX 2070,92.80%,Nvidia,AMD
222,224,36284623,70%,91%,66%,AMD Ryzen 5 1600X,83.60%,Nvidia GTX 1070,75.10%,Nvidia,AMD
223,225,36284628,93%,95%,82%,Intel Core i7-8700,95.20%,Nvidia RTX 2060,94.90%,Nvidia,Intel
224,226,36284632,74%,91%,63%,Intel Core i5-8400,86.10%,Nvidia GTX 1660-Ti,80.50%,Nvidia,Intel
225,227,36284635,1%,19%,1%,Intel Pentium N3710,21%,Intel HD Graphics,2.60%,Intel,Intel
226,228,36284640,46%,87%,37%,Intel Core i3-9100F,81.40%,AMD Radeon  RX 570 Graphics,50%,AMD,Intel
227,229,36284641,44%,83%,37%,Intel Core i7-4770,77.30%,Nvidia GTX 1060-3GB,52.40%,Nvidia,Intel
228,230,36284647,9%,61%,9%,AMD Ryzen 7 4800H,53%,AMD Radeon Graphics,7.30%,AMD,AMD
229,231,36284650,28%,70%,21%,Intel Core i5-7300HQ,62.90%,Nvidia GTX 1060 (Mobile Max-Q),40.10%,Nvidia,Intel
230,232,36284656,45%,81%,35%,Intel Core i5-6500,79%,Nvidia GTX 1060-3GB,55.50%,Nvidia,Intel
231,233,36284659,150%,92%,164%,Intel Core i9-10900X,86%,Nvidia RTX 3070,173.50%,Nvidia,Intel
232,234,36284664,5%,64%,5%,Intel Core i7-4700MQ,73.90%,Intel HD 4600 (Mobile 1.15 GHz),3.20%,Intel,Intel
233,235,36284681,142%,103%,123%,Intel Core i5-8600K,99.10%,Nvidia RTX 2080,142%,Nvidia,Intel
234,236,36284683,140%,98%,136%,AMD Ryzen 5 5600X,95.90%,Nvidia RTX 3060-Ti,145.60%,Nvidia,AMD
235,237,36284693,64%,83%,49%,Intel Core i5-3570,77.30%,Nvidia GTX 1070,80.30%,Nvidia,Intel
236,238,36284698,67%,90%,63%,AMD Ryzen 5 3600X,82.40%,Nvidia GTX 1660S (Super),74.50%,Nvidia,AMD
237,239,36284702,95%,96%,94%,AMD Ryzen 7 3700X,90.20%,AMD RX 5700-XT,100.80%,AMD,AMD
238,240,36284706,108%,94%,91%,Intel Core i7-7700K,88.80%,Nvidia GTX 1080-Ti,123.90%,Nvidia,Intel
239,241,36284707,112%,80%,114%,AMD Ryzen 7 1800X,80.60%,Nvidia GTX 1080-Ti,139.80%,Nvidia,AMD
240,242,36284713,4%,68%,4%,Intel Core i3-1005G1,65.60%,Intel UHD G1,4.90%,Intel,Intel
241,243,36284732,38%,88%,33%,Intel Core i5-9400,84.40%,Nvidia GTX 1650,40.60%,Nvidia,Intel
242,244,36285028,47%,86%,39%,Intel Core i5-9400F,84.10%,Nvidia GTX 1660-Ti,54.10%,Nvidia,Intel
243,245,36285036,41%,80%,40%,AMD Ryzen 7 1700,74.10%,AMD RX 580,44.60%,AMD,AMD
244,246,36285041,2%,45%,2%,Intel Core2 Duo E8600,43.70%,Nvidia Quadro 600,3%,Nvidia,Intel
245,247,36285049,190%,87%,178%,Intel Core i7-8700K,80%,Nvidia RTX 3090,245.50%,Nvidia,Intel
246,248,36285058,33%,71%,26%,AMD FX-6350 Six-Core,65.50%,AMD R9 290,48.30%,AMD,AMD
247,249,36285066,86%,90%,82%,AMD Ryzen 5 3600,83.50%,Nvidia RTX 2060S (Super),99.90%,Nvidia,AMD
248,250,36285069,63%,74%,48%,Intel Core i5-3570,72.20%,Nvidia RTX 2060,93.30%,Nvidia,Intel
249,251,36285119,103%,90%,94%,AMD Ryzen 7 3700X,80.90%,Nvidia RTX 2070S (Super),122.90%,Nvidia,AMD
250,252,36285129,87%,91%,73%,Intel Core i7-6700K,88.20%,Nvidia GTX 1070-Ti,96.80%,Nvidia,Intel
251,253,36285132,99%,100%,96%,Intel Core i7-9700K,100.60%,Nvidia RTX 2060,94.90%,Nvidia,Intel
252,254,36285136,9%,62%,8%,Intel Core i7-3770,67%,Nvidia GeForce GT 640,5.20%,Nvidia,Intel
253,255,36285137,172%,92%,173%,AMD Ryzen 7 3700X,93%,Nvidia RTX 2080-Ti,188.90%,Nvidia,AMD
254,256,36285143,0%,16%,0%,AMD E-450 APU,16.80%,AMD Radeon HD 6320,0.80%,AMD,AMD
255,257,36285146,23%,76%,20%,Intel Core i7-4770K,68.40%,Nvidia GTX 1050-Ti,28%,Nvidia,Intel
256,258,36285148,42%,81%,33%,Intel Core i5-6500,77.10%,AMD RX 470,48.20%,AMD,Intel
257,259,36285151,9%,67%,8%,Intel Core i7-7500U,68.90%,Nvidia 940MX,9.10%,Nvidia,Intel
258,260,36285154,73%,97%,66%,Intel Core i7-10750H,93.30%,Nvidia RTX 2060 (Mobile),73.40%,Nvidia,Intel
259,261,36285157,30%,69%,24%,Intel Core i5-7300HQ,61.80%,Nvidia GTX 1060 (Mobile Max-Q),45.10%,Nvidia,Intel
260,262,36285159,85%,92%,84%,AMD Ryzen 7 2700X,87.20%,Nvidia GTX 1070,90.80%,Nvidia,AMD
261,263,36285165,4%,50%,4%,Intel Core i7-4500U,53.20%,Intel HD 4400 (Mobile 1.0/1.1 GHz),3.10%,Intel,Intel
262,264,36285206,34%,76%,27%,Intel Core i5-3570K,65.90%,Nvidia GTX 1060-3GB,50.30%,Nvidia,Intel
263,265,36285207,123%,109%,120%,Intel Core i9-9900KF,105.50%,Nvidia GTX 1080,113.20%,Nvidia,Intel
264,266,36285212,68%,90%,65%,AMD Ryzen 5 3600X,85%,Nvidia GTX 1660-Ti,77.60%,Nvidia,AMD
265,267,36285237,118%,99%,112%,AMD Ryzen 5 5600X,96.90%,Nvidia RTX 2070S (Super),121.50%,Nvidia,AMD
266,268,36285245,40%,92%,35%,Intel Core i7-9750H,86.20%,Nvidia GTX 1650 (Mobile),42.80%,Nvidia,Intel
267,269,36285250,65%,98%,57%,Intel Core i5-9600K,99.90%,Nvidia GTX 1060-6GB,59.10%,Nvidia,Intel
268,270,36285255,103%,90%,96%,AMD Ryzen 5 3600,86.70%,Nvidia RTX 2060S (Super),115.90%,Nvidia,AMD
269,271,36285263,46%,85%,38%,Intel Core i5-8400,82.40%,Nvidia GTX 1060-3GB,53.40%,Nvidia,Intel
270,272,36285269,14%,58%,14%,AMD Ryzen 7 4800H,59.70%,AMD Radeon Graphics,8.50%,AMD,AMD
271,273,36285272,19%,86%,18%,Intel Xeon E-2186M,88.40%,Intel UHD Graphics P630,10.70%,Intel,Intel
272,274,36285279,82%,100%,79%,Intel Core i7-8700K,93.70%,Nvidia GTX 980-Ti,81.70%,Nvidia,Intel
273,275,36285281,94%,93%,88%,AMD Ryzen 5 3600XT,87%,AMD RX 5700-XT,103.40%,AMD,AMD
274,276,36285286,23%,83%,22%,AMD Ryzen 5 2600,81.10%,Nvidia GTX 750-Ti,17.20%,Nvidia,AMD
275,277,36285314,140%,100%,144%,AMD Ryzen 7 PRO 3700 8-Core,95.60%,Nvidia RTX 2080S (Super),145.40%,Nvidia,AMD
276,278,36285317,58%,102%,47%,Intel Core i5-6600K,93.50%,Nvidia GTX 1060-6GB,53.60%,Nvidia,Intel
277,279,36285321,145%,93%,137%,AMD Ryzen 5 3600,86.10%,Nvidia RTX 3070,169.50%,Nvidia,AMD
278,280,36285326,3%,46%,2%,Intel Core i3 540,47.30%,ATI FirePro V4800 (FireGL V),5.80%,Other,Intel
279,281,36285329,41%,85%,33%,Intel Core i5-4590,78.80%,Nvidia GTX 970,48%,Nvidia,Intel
280,282,36285333,105%,98%,101%,Intel Core i7-10875H,95.20%,Nvidia RTX 2070S (Super Mobile),107.30%,Nvidia,Intel
281,283,36285334,13%,90%,13%,Intel Core i7-9700K,103.50%,Intel UHD Graphics 630,4.60%,Intel,Intel
282,285,36285372,76%,83%,73%,AMD Ryzen 5 3600XT,83.60%,Nvidia RTX 2060,92.40%,Nvidia,AMD
283,286,36285373,18%,89%,16%,Intel Core i7-1065G7,83.20%,Intel Iris Plus G7,11.30%,Intel,Intel
284,287,36285377,84%,84%,81%,AMD Ryzen 5 3600,79.50%,AMD RX 5700-XT,103.40%,AMD,AMD
285,288,36285380,6%,48%,6%,Intel Core i7-6820HQ,43.70%,Intel HD 530 (Mobile Skylake),5.20%,Intel,Intel
286,289,36285385,193%,105%,194%,Intel Core i9-9900KF,101.60%,Nvidia RTX 3070,192.60%,Nvidia,Intel
287,290,36285388,119%,101%,133%,AMD Ryzen 9 3900X,96.40%,AMD RX 5700-XT,119.90%,AMD,AMD
288,291,36285394,70%,90%,66%,AMD Ryzen 5 3600X,84.30%,Nvidia GTX 1660-Ti,79.90%,Nvidia,AMD
289,292,36285397,25%,77%,21%,Intel Core i5-9300H,69.10%,Nvidia GTX 1650 (Mobile),24.50%,Nvidia,Intel
290,293,36285465,81%,81%,79%,AMD Ryzen 7 2700X,77.90%,Nvidia RTX 2070,101.70%,Nvidia,AMD
291,295,36285468,4%,52%,4%,Intel Core i5-3570K,65%,Intel HD 4000 (Desktop 1.15 GHz),1.80%,Intel,Intel
292,296,36285470,6%,62%,5%,Intel Core i5-3570K,72.40%,Intel HD 4000 (Desktop 1.15 GHz),3.20%,Intel,Intel
293,297,36285477,87%,96%,82%,AMD Ryzen 5 3600XT,90.20%,Nvidia RTX 2060,92%,Nvidia,AMD
294,298,36285486,17%,67%,13%,AMD FX-6300,63.30%,Nvidia GTX 760,25%,Nvidia,AMD
295,299,36285488,115%,85%,110%,AMD Ryzen 5 3600X,83.30%,Nvidia RTX 2080,139.80%,Nvidia,AMD
296,300,36285517,32%,77%,25%,Intel Core i5-4590,69%,AMD RX 480,40.70%,AMD,Intel
297,301,36285520,47%,93%,41%,Intel Core i7-6700K,80.10%,Nvidia GTX 970,49.80%,Nvidia,Intel
298,302,36285523,93%,98%,136%,AMD Ryzen TR 3960X,92.20%,Nvidia RTX 3090,95%,Nvidia,AMD
299,303,36285532,60%,78%,57%,AMD Ryzen 5 3600,70.70%,Nvidia RTX 2060,81.20%,Nvidia,AMD
300,304,36285537,58%,87%,49%,Intel Core i5-9400,84%,Nvidia GTX 1660,67.50%,Nvidia,Intel
301,305,36285542,17%,94%,17%,Intel Core i7-9700K,100.80%,Intel UHD Graphics 630,5.40%,Intel,Intel
302,306,36285547,18%,74%,14%,Intel Core i5-6400,71.60%,Nvidia GTX 950,25%,Nvidia,Intel
303,307,36285549,97%,92%,91%,AMD Ryzen 5 3600,88.60%,AMD RX 5700-XT,106%,AMD,AMD
304,308,36285554,107%,97%,99%,AMD Ryzen 5 3600X,95.40%,AMD RX 5700-XT,109%,AMD,AMD
305,309,36285557,9%,67%,9%,Intel Core i7-3840QM,72.40%,Intel HD 4000 (Mobile 1.25 GHz),3.90%,Intel,Intel
306,310,36285560,99%,97%,94%,Intel Core i7-9700K,97.50%,Nvidia RTX 2070,100.30%,Nvidia,Intel
307,311,36285563,80%,96%,76%,AMD Ryzen 5 3600,87.10%,Nvidia GTX 1070,84.20%,Nvidia,AMD
308,312,36285567,40%,87%,33%,Intel Core i3-9100F,81.40%,Nvidia GTX 1650,45.70%,Nvidia,Intel
309,313,36285568,11%,63%,9%,Intel Core i7-5500U,54%,AMD Radeon  R9 M375,10.10%,AMD,Intel
310,314,36285635,12%,68%,11%,Intel Core i5-8265U,68.60%,Intel UHD Graphics 620,5.80%,Intel,Intel
311,315,36290407,164%,103%,167%,AMD Ryzen 7 5800X,100.70%,Nvidia RTX 3070,165.80%,Nvidia,AMD
312,316,36290411,95%,94%,89%,AMD Ryzen 5 3600X,87.40%,AMD RX 5700-XT,104%,AMD,AMD
313,317,36290413,39%,90%,34%,Intel Core i7-6700K,87.60%,Nvidia GTX 960,38.60%,Nvidia,Intel
314,318,36290420,27%,82%,23%,Intel Core i5-7600K,69.70%,Nvidia GTX 1050-Ti,29.60%,Nvidia,Intel
315,319,36290421,11%,72%,10%,Intel Core i7-4940MX,72.60%,Nvidia Quadro K2100M,6.80%,Nvidia,Intel
316,320,36290424,103%,98%,93%,Intel Core i7-8700K,98%,Nvidia GTX 1080,101.20%,Nvidia,Intel
317,321,36290431,19%,84%,16%,Intel Core i5-9600K,86.30%,AMD RX 570,22.70%,AMD,Intel
318,322,36290433,127%,96%,108%,Intel Core i5-9600K,97%,Nvidia RTX 2070S (Super),131.30%,Nvidia,Intel
319,323,36290438,116%,79%,96%,Intel Core i7-6700,73.60%,Nvidia RTX 2080-Ti,158.70%,Nvidia,Intel
320,324,36290445,35%,82%,30%,Intel Core i7-3770K,76.80%,AMD RX 570,40.90%,AMD,Intel
321,325,36290447,77%,83%,68%,Intel Core i7-8700K,83.80%,Nvidia GTX 1070-Ti,91.60%,Nvidia,Intel
322,326,36290467,208%,98%,209%,Intel Core i9-9900K,94.40%,Nvidia RTX 3090,226.60%,Nvidia,Intel
323,327,36290470,182%,93%,181%,AMD Ryzen 7 3700X,91.20%,Nvidia RTX 3080,204.50%,Nvidia,AMD
324,328,36290471,27%,69%,20%,Intel Pentium G4400,55.20%,Nvidia GTX 780,44.80%,Nvidia,Intel
325,329,36290473,15%,93%,14%,Intel Core i7-10750H,96.40%,Intel UHD Graphics,9.30%,Intel,Intel
326,330,36290477,94%,100%,81%,Intel Core i5-8600K,101.10%,Nvidia GTX 1070,88.40%,Nvidia,Intel
327,331,36290481,188%,89%,175%,AMD Ryzen 5 3600,87.70%,Nvidia RTX 3080,220.40%,Nvidia,AMD
328,332,36290484,25%,93%,26%,AMD Ryzen 7 4800H,88.40%,AMD Radeon Graphics,17.90%,AMD,AMD
329,333,36290487,79%,97%,73%,Intel Core i7-10700F,100.40%,Nvidia GTX 1660-Ti,77.40%,Nvidia,Intel
330,334,36290490,73%,86%,71%,AMD Ryzen 5 3600X,80.30%,Nvidia RTX 2060,87.80%,Nvidia,AMD
331,335,36290496,83%,90%,76%,Intel Core i5-10400,85.40%,Nvidia RTX 2060,94.20%,Nvidia,Intel
332,336,36290498,6%,63%,5%,Intel Core i7-4710HQ,73.40%,Intel HD 4600 (Mobile 1.15 GHz),4.80%,Intel,Intel
333,337,36290519,279%,109%,303%,Intel Core i9-10900KF,107.90%,Nvidia RTX 3090,267.20%,Nvidia,Intel
334,338,36290523,88%,100%,100%,AMD Ryzen 9 3900X,94.30%,Nvidia GTX 1070,87.40%,Nvidia,AMD
335,339,36290524,77%,90%,74%,AMD Ryzen 5 3600,80.40%,AMD RX 5600-XT,89.70%,AMD,AMD
336,340,36290526,64%,89%,54%,Intel Core i5-9400F,87.30%,Nvidia GTX 1660,71.80%,Nvidia,Intel
337,341,36290530,108%,103%,97%,AMD Ryzen 5 5600X,102.50%,AMD RX 5700-XT,102.30%,AMD,AMD
338,342,36290531,134%,107%,127%,AMD Ryzen 9 5900X,101.10%,Nvidia GTX 1080-Ti,130.70%,Nvidia,AMD
339,343,36290534,52%,88%,41%,Intel Core i5-7500,80%,Nvidia GTX 1060-6GB,58.70%,Nvidia,Intel
340,344,36290537,2%,43%,2%,Intel Core i3 530,42.70%,AMD Radeon HD 5450,1%,AMD,Intel
341,345,36290542,55%,86%,49%,AMD Ryzen 3 3100,79.60%,Nvidia GTX 1650S (Super),61.20%,Nvidia,AMD
342,346,36290547,71%,91%,70%,AMD Ryzen 7 3700X,87.90%,Nvidia GTX 1070,75.70%,Nvidia,AMD
343,347,36290551,94%,86%,98%,AMD Ryzen 7 3800X,88.70%,Nvidia RTX 2070,108.70%,Nvidia,AMD
344,348,36290555,34%,85%,28%,Intel Core i5-6500,79.80%,AMD R9 380,35.80%,AMD,Intel
345,349,36290592,84%,91%,85%,AMD Ryzen 7 3700X,85.70%,AMD RX 5700-XT,94.60%,AMD,AMD
346,350,36290598,88%,94%,83%,AMD Ryzen 5 3600,85.60%,Nvidia GTX 1080,97.40%,Nvidia,AMD
347,351,36290603,59%,82%,56%,AMD Ryzen 5 2600X,71.20%,Nvidia GTX 1660-Ti,75%,Nvidia,AMD
348,352,36290606,47%,92%,38%,Intel Core i5-7500,82.40%,Nvidia GTX 1060-3GB,49.30%,Nvidia,Intel
349,353,36290612,116%,97%,110%,Intel Core i7-9700F,98.30%,Nvidia RTX 2070,116%,Nvidia,Intel
350,354,36290617,79%,86%,66%,Intel Core i7-6700,82.10%,Nvidia RTX 2060,93.40%,Nvidia,Intel
351,355,36290666,104%,86%,95%,Intel Core i7-9700K,81%,Nvidia RTX 2080S (Super),126.70%,Nvidia,Intel
352,356,36290673,77%,80%,73%,AMD Ryzen 7 2700,75.30%,Nvidia RTX 2060S (Super),96.30%,Nvidia,AMD
353,357,36290676,143%,104%,144%,Intel Core i7-10700K,101.50%,Nvidia GTX 1080-Ti,139.90%,Nvidia,Intel
354,358,36290692,3%,52%,2%,Intel Core i3-5015U,52.90%,Intel HD 5500 (Mobile 0.95 GHz),3.40%,Intel,Intel
355,359,36290695,120%,99%,105%,Intel Core i7-8700,95.10%,Nvidia GTX 1080-Ti,125.30%,Nvidia,Intel
356,360,36290697,63%,93%,57%,Intel Core i7-9750H,89.60%,Nvidia RTX 2060 (Mobile),64.80%,Nvidia,Intel
357,361,36290699,78%,94%,70%,Intel Core i7-9700K,92.80%,Nvidia RTX 2060,85.90%,Nvidia,Intel
358,362,36290702,58%,107%,61%,Intel Core i9-10900,103.80%,Nvidia GTX 1650,47.80%,Nvidia,Intel
359,363,36290705,19%,72%,15%,Intel Core i3-7100,60.20%,AMD RX 470,27%,AMD,Intel
360,364,36290706,17%,69%,16%,AMD Ryzen 5 3400GE Vega Graphics,62.70%,AMD Radeon RX Vega 11 Graphics,14.50%,AMD,AMD
361,365,36290712,22%,72%,18%,Intel Core i7-3770,71%,Nvidia GTX 680,32.30%,Nvidia,Intel
362,366,36290714,3%,53%,3%,Intel Core i7-7500U,57.40%,Intel HD 620 (Mobile Kaby Lake),4.90%,Intel,Intel
363,367,36290715,41%,72%,32%,Intel Core i5-7500,67%,Nvidia GTX 1060-6GB,57%,Nvidia,Intel
364,368,36290720,212%,95%,380%,AMD Ryzen TR 3970X,85.30%,Nvidia RTX 3090,253.20%,Nvidia,AMD
365,369,36290724,82%,93%,78%,AMD Ryzen 5 3600X,89.60%,Nvidia RTX 2060,86.10%,Nvidia,AMD
366,370,36290726,124%,100%,122%,Intel Core i9-9900KF,98.30%,Nvidia RTX 2070S (Super),126.30%,Nvidia,Intel
367,371,36290727,5%,51%,4%,Intel Core i5-6200U,52.60%,Intel HD 520 (Mobile Skylake),4.40%,Intel,Intel
368,372,36290729,58%,85%,57%,AMD Ryzen 5 3600,79.20%,Nvidia GTX 1660,71.10%,Nvidia,AMD
369,373,36290732,128%,96%,109%,Intel Core i5-9600K,96.50%,Nvidia RTX 2070S (Super),132.50%,Nvidia,Intel
370,374,36290735,20%,82%,16%,Intel Core i5-3570K,78.70%,Nvidia GTX 750-Ti,18.10%,Nvidia,Intel
371,375,36290740,30%,89%,24%,Intel Core i5-4670K,88.50%,Nvidia GTX 770,31.40%,Nvidia,Intel
372,376,36290744,90%,87%,82%,Intel Xeon E5-1650 v2,84.30%,Nvidia GTX 1080,105.40%,Nvidia,Intel
373,377,36290746,69%,93%,63%,Intel Core i5-10600KF,95.90%,Nvidia GTX 1660S (Super),72.50%,Nvidia,Intel
374,378,36290751,5%,54%,5%,Intel Core i7-7700HQ,59.80%,Intel HD Graphics 630,7.60%,Intel,Intel
375,379,36290757,46%,82%,43%,AMD Ryzen 5 1600X,78.90%,Nvidia GTX 1060-6GB,49.40%,Nvidia,AMD
376,380,36290758,78%,97%,72%,Intel Core i7-10700F,99.90%,Nvidia GTX 1660-Ti,77.20%,Nvidia,Intel
377,381,36290760,65%,80%,59%,AMD Ryzen 5 1600AF,72.50%,Nvidia GTX 1660-Ti,81.90%,Nvidia,AMD
378,382,36291206,74%,89%,65%,Intel Core i7-4770K,80.30%,Nvidia GTX 1070,88.80%,Nvidia,Intel
379,383,36291247,138%,96%,209%,AMD Ryzen TR 3960X,89.50%,Nvidia RTX 2080S (Super),152.20%,Nvidia,AMD
380,384,36291250,2%,34%,2%,Intel Celeron N4100,37.60%,Intel UHD Graphics 600,1.60%,Intel,Intel
381,385,36291290,91%,88%,75%,Intel Core i7-4790K,86%,Nvidia GTX 1080,103.10%,Nvidia,Intel
382,386,36291291,10%,66%,8%,Intel Core i5-8250U,63.70%,Nvidia MX150-0,14.50%,Nvidia,Intel
383,387,36291910,46%,81%,42%,AMD Ryzen 5 2600X,76.70%,Nvidia GTX 1060-6GB,53.80%,Nvidia,AMD
384,388,36291912,73%,76%,66%,AMD Ryzen 5 1400,58.80%,Nvidia RTX 2070S (Super),116.70%,Nvidia,AMD
385,389,36291913,12%,64%,11%,AMD Ryzen 5 2500U,63.80%,AMD RX Vega 8 (Ryzen iGPU),9.40%,AMD,AMD
386,390,36291914,18%,86%,17%,AMD Ryzen 5 4600H,88.70%,AMD Radeon Graphics,13.30%,AMD,AMD
387,391,36291916,57%,98%,59%,Intel Core i7-10700K,93.30%,Nvidia GTX 970,53.30%,Nvidia,Intel
388,393,36291919,8%,55%,8%,Intel Core i7-10510U,56.60%,Intel UHD Graphics,5.20%,Intel,Intel
389,394,36291921,46%,84%,38%,Intel Core i7-8750H,84.40%,Nvidia GTX 1060 (Mobile),53%,Nvidia,Intel
390,395,36291924,18%,74%,16%,AMD Ryzen 3 3200G,74.10%,AMD Radeon Vega 8 Graphics,12.50%,AMD,AMD
391,396,36291926,58%,67%,51%,AMD Ryzen 5 1500X,59.70%,Nvidia GTX 1080,90.80%,Nvidia,AMD
392,398,36291933,29%,79%,25%,Intel Core i7-7700HQ,72.90%,Nvidia GTX 1050-Ti (Mobile),30.50%,Nvidia,Intel
393,399,36291934,67%,104%,64%,Intel Core i7-8700K,98.80%,Nvidia GTX 1080,61.60%,Nvidia,Intel
394,400,36291935,84%,83%,85%,AMD Ryzen 7 1700X,78.20%,Nvidia RTX 2060S (Super),102.70%,Nvidia,AMD
395,401,36291937,90%,87%,93%,AMD Ryzen 7 3700X,86.60%,Nvidia RTX 2060S (Super),102.90%,Nvidia,AMD
396,402,36291945,58%,92%,54%,AMD Ryzen 5 3600,90.60%,Nvidia GTX 1060-6GB,57%,Nvidia,AMD
397,403,36291948,49%,90%,41%,Intel Core i5-9600K,96.70%,AMD RX 570,51.20%,AMD,Intel
398,404,36291952,233%,103%,235%,Intel Core i7-10700K,99.50%,Nvidia RTX 3090,242.10%,Nvidia,Intel
399,405,36291957,21%,84%,20%,AMD Ryzen 5 3600,85.80%,Nvidia GTX 750-Ti,17%,Nvidia,AMD
400,406,36291959,30%,97%,30%,AMD Ryzen 9 4900HS,92.10%,AMD Radeon Graphics,21.10%,AMD,AMD
401,407,36291961,222%,103%,236%,Intel Core i9-10900K,100.70%,Nvidia RTX 3090,228.50%,Nvidia,Intel
402,408,36291965,171%,100%,162%,Intel Core i7-9700K,102%,Nvidia RTX 3070,169.90%,Nvidia,Intel
403,409,36291974,59%,92%,53%,AMD Ryzen 3 3100,81.10%,Nvidia GTX 1650S (Super),63.60%,Nvidia,AMD
404,410,36291976,116%,93%,118%,AMD Ryzen 7 2700X,87.60%,Nvidia RTX 2070S (Super),128.50%,Nvidia,AMD
405,412,36291978,30%,87%,26%,Intel Core i5-8400,89.10%,Nvidia GTX 1050-Ti,28.90%,Nvidia,Intel
406,413,36291980,102%,106%,88%,Intel Core i5-9600KF,104.30%,Nvidia GTX 980-Ti,93.10%,Nvidia,Intel
407,414,36291984,134%,101%,123%,Intel Core i7-8086K,95.20%,Nvidia GTX 1080-Ti,138.60%,Nvidia,Intel
408,415,36291985,83%,86%,78%,AMD Ryzen 5 2600X,81.40%,AMD RX 5700-XT,102.10%,AMD,AMD
409,416,36291994,52%,94%,44%,Intel Core i5-8400,86.20%,Nvidia GTX 1060-3GB,53.30%,Nvidia,Intel
410,417,36291996,213%,98%,200%,Intel Core i7-9700K,100.30%,Nvidia RTX 3090,220.60%,Nvidia,Intel
411,418,36291997,12%,72%,11%,Intel Core i7-4810MQ,76.10%,Nvidia Quadro K2100M,7.20%,Nvidia,Intel
412,419,36291999,11%,58%,10%,AMD Ryzen 3 3200G,56.20%,AMD Radeon Vega 8 Graphics,11.50%,AMD,AMD
413,420,36292021,28%,75%,26%,AMD Ryzen 5 1600,66.90%,Nvidia GTX 1050-Ti,31.90%,Nvidia,AMD
414,421,36292024,88%,97%,81%,Intel Core i5-10400,93%,Nvidia RTX 2060,91.20%,Nvidia,Intel
415,422,36292026,15%,90%,15%,Intel Core i9-10900K,102.70%,Intel UHD Graphics 630,5.40%,Intel,Intel
416,423,36292070,17%,87%,16%,Intel Core i5-9300H,86.30%,Intel UHD Graphics 630,8.80%,Intel,Intel
417,424,36292071,78%,90%,83%,AMD Ryzen 7 3700X,82.20%,AMD RX 5600-XT,90.30%,AMD,AMD
418,425,36292074,52%,90%,50%,AMD Ryzen 5 3600X,86.70%,Nvidia GTX 1080,52.70%,Nvidia,AMD
419,426,36292079,130%,97%,142%,Intel Core i9-7940X,97.80%,Nvidia GTX 1080-Ti,132.30%,Nvidia,Intel
420,427,36292083,72%,85%,71%,AMD Ryzen 7 2700X,83.40%,Nvidia GTX 1070-Ti,80.90%,Nvidia,AMD
421,428,36292084,15%,66%,12%,AMD FX-8320,63.80%,Nvidia GTX 760,22.30%,Nvidia,AMD
422,429,36292085,150%,97%,151%,AMD Ryzen 7 3700X,91.90%,Nvidia RTX 3060-Ti,163.80%,Nvidia,AMD
423,430,36292086,7%,41%,6%,AMD Ryzen 7 3750H,40.80%,AMD Radeon RX Vega 10 Graphics,5%,AMD,AMD
424,431,36292087,27%,78%,22%,Intel Core i7 860,78.30%,AMD HD 7950,35.10%,AMD,Intel
425,432,36292089,65%,75%,55%,AMD Ryzen 5 3400G,72.10%,Nvidia RTX 2060,89.30%,Nvidia,AMD
426,433,36292093,249%,108%,254%,Intel Core i9-9900K,106.30%,Nvidia RTX 3080,240.30%,Nvidia,Intel
427,434,36292098,6%,29%,6%,Intel Core i7-4720HQ,33.90%,Intel HD 4600 (Mobile 1.15 GHz),2.40%,Intel,Intel
428,436,36292103,116%,99%,112%,Intel Core i9-10980HK,97.20%,Nvidia RTX 2080S (Super Mobile),118.10%,Nvidia,Intel
429,437,36292104,87%,98%,79%,Intel Core i7-10750H,90.40%,Nvidia RTX 2070 (Mobile),91.20%,Nvidia,Intel
430,438,36292112,229%,105%,233%,Intel Core i9-9900K,102.60%,Nvidia RTX 3080,229.50%,Nvidia,Intel
431,439,36292117,99%,87%,93%,AMD Ryzen 5 2600,82.60%,Nvidia RTX 2070,115%,Nvidia,AMD
432,440,36292124,90%,91%,78%,Intel Core i7-6700K,85.40%,Nvidia GTX 1080,103.80%,Nvidia,Intel
433,441,36292125,16%,72%,15%,AMD Ryzen 3 2200G,74.30%,AMD RX Vega 8 (Ryzen iGPU),11.10%,AMD,AMD
434,442,36292128,1%,47%,1%,AMD A10-6700 APU (2013 D.Ri),58.30%,AMD Radeon HD 8670D,3%,AMD,AMD
435,443,36292130,170%,106%,167%,AMD Ryzen 7 5800X,103.30%,Nvidia RTX 3070,165%,Nvidia,AMD
